  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  5.466609547339236E-005  4.187923169438406E-005  5.466609547339236E-005
  4.187923169438406E-005  2.405053723038478E-005  4.187923169438406E-005
  5.466609547339236E-005  4.187923169438406E-005  5.466609547339236E-005
  5.466609547342038E-005  4.187923169432276E-005  5.466609547342038E-005
  4.187923169432274E-005  2.405053723039103E-005  4.187923169432274E-005
  5.466609547342038E-005  4.187923169432274E-005  5.466609547342038E-005
